Timestamp: 2023-06-19T11:10:27+08:00
Carpark Number,Total Lots,Lots Available,Address
BM2,53,1,BLK 28 HOY FATT ROAD
KB17,50,1,BLK 23 BENDEMEER ROAD
Y20,60,1,BLK 293/294 YISHUN STREET 22
TGML,4,1,BLK 64 AND 65 TEBAN GARDENS ROAD
MP5S,33,1,BLK 45 MARINE CRESCENT
TB22,20,1,BLK 79/80/81 TELOK BLANGAH DRIVE
Q94,25,1,BLK 102 COMMONWEALTH CRESCENT
BKE2,17,1,BLK 681/682 RACE COURSE ROAD
Y77L,2,1,
S40L,4,1,BLK 115B AND 115C CANBERRA WALK
S13L,11,1,351A-351D ANCHORVALE ROAD
S14L,9,1,"353A-353B,355A,356A-356B ANCHORVALE LANE"
JS5L,30,1,BLK 647A JURONG WEST STREET 61
ACB,93,2,BLK 270/271 ALBERT CENTRE BASEMENT CAR PARK
BM28,51,2,"BLK 117, 161 BUKIT MERAH CENTRAL"
BM30,46,2,BLK 164/165 BUKIT MERAH CENTRAL
B63,99,2,BLK 739/745 BEDOK RESERVOIR ROAD
JKS,42,2,BLK 1 JALAN KUKOH CAR PARK
J60L,10,2,BLK 505 JURONG WEST STREET 52
MR4,35,2,BLK 7 KING GEORGE AVENUE
CR3,30,2,BLK 9 NORTH BRIDGE ROAD
HE24,37,2,BLK 116 BUKIT MERAH VIEW
HG97,43,2,BLK 804 HOUGANG AVENUE 10
SK59,17,2,BLK 263 COMPASSVALE STREET
KAML,5,2,BLK 335 KRETA AYER (LUB)
P71L,5,2,
Y68L,6,2,"BLKS 504A, 504B, 504C, 504D YISHUN STREET 51"
JS1L,10,2,BLK 692A JURONG WEST CENTRAL 3
SS1L,4,2,
A15,59,3,BLK 226E-226H ANG MO KIO STREET 22
SE21,29,3,BLK 262/263 SERANGOON CENTRAL
BM5,46,3,BLKS 8/10 JALAN RUMAH TINGGI
S19L,4,3,BLK 501B WELLINGTON CIRCLE
GE1F,50,3,BLK 107-108 ALJUNIED CRESCENT
GE1G,45,3,BLK 95 & 113 ALJUNIED CRESCENT
J24,34,3,BLK 342/346 JURONG EAST STREET 31
P73L,4,3,BLK 229A & 229B SUMANG LANE
S36L,4,3,BLK 121A AND 121B CANBERRA STREET
JS4L,12,3,BLK 337 TAH CHING ROAD
BJBL,13,3,BLK 533 - 534 BUKIT PANJANG RING ROAD
T18,81,4,BLK 201E TAMPINES STREET 21
M36,17,4,BLK 43 CIRCUIT ROAD
BRBL,11,4,BLK 665 BUFFALO ROAD LOADING/UNLOADING BAYS
BM19,36,4,BLK 88/89 REDHILL CLOSE
HE1,21,4,BLK 102/103/104 HENDERSON CRESCENT
HE4,124,4,BLK 121/122 & 127 BUKIT MERAH VIEW
TP43,114,4,BLK 19 TO 23 LORONG 7 TOA PAYOH
C18A,36,4,BLK 426/427 CLEMENTI AVENUE 3
Q73,49,4,BLK 91/92 COMMONWEALTH DRIVE
CR6,79,4,
BKE3,17,4,BLK 682/683 RACE COURSE ROAD
DSRL,4,4,BLK 38A MARGARET DRIVE
S39L,5,4,BLK 542A/542 SERANGOON NORTH AVENUE 4
CR1A,22,4,BLK 2 BEACH ROAD
B45,67,5,BLK 537/539 BEDOK NORTH STREET 3
TM9,20,5,BLK 330A TAMPINES STREET 32
BJ57,24,5,BLK 628 SENJA ROAD
S38L,8,5,"BLK 128A, 128B, 129A AND 130A CANBERRA STREET/CANBERRA CRESCENT"
CC6,41,6,BLK 25-27 CHAI CHEE ROAD
P6L,6,6,BLK 109B PUNGGOL FIELD
LT2,74,6,BLK 111-112 LENGKONG TIGA
TP48,20,6,BLK 8 LORONG 7 TOA PAYOH
SD11,82,6,BLK 63 SIMS PLACE
C21L,10,6,BLK 454 TO 460 CLEMENTI AVENUE 3
CR1B,20,6,BLK 3 BEACH ROAD
J46,63,7,BLK 501/504 JURONG WEST STREET 51
TB1,58,7,BLK 1/2/3/4/6 TELOK BLANGAH CRESCENT
Q16,10,7,BLK 45 AND 50 STIRLING ROAD
J26,31,7,BLK 351/353 JURONG EAST STREET 31
HG56,20,7,BLK 830-835 HOUGANG CENTRAL
HG2D,36,7,"BLK 581,582 AND 582A BUANGKOK GREEN"
KB7,65,8,BLK 69 GEYLANG BAHRU
CK4,10,8,"BLK 135-138,141,142 & 145 TECK WHYE LANE/AVENUE"
Y49L,19,8,BLK 418/419 YISHUN AVENUE 11
S28L,8,8,BLK 489 ADMIRALTY LINK
BJ14,63,8,BLK 257 BANGKIT ROAD
PRS1,21,8,BLK 212A PASIR RIS STREET 21
PDW7,171,8,BLK 768 WOODLANDS AVE 6
SD5,64,9,BLK 53 SIMS PLACE
W7,128,9,BLK 17/21 MARSILING LANE
TE1,90,9,BLK 115-117 JALAN BUKIT MERAH
CV2,31,9,BLK 3 CHANGI VILLAGE ROAD
W109,22,9,BLK 764B WOODLANDS CIRCLE
C3ML,10,9,"BLK 419, 420 AND 420A CLEMENTI AVENUE 1"
SK49,120,10,BLK 319 ANCHORVALE DRIVE
JB1,70,10,"BLK 3-5,7,8,4A JALAN BATU"
SD4,41,10,BLK 52 SIMS PLACE
P35L,10,10,PUNGGOL CENTRAL
CK9,45,10,BLK 223-227 CHOA CHU KANG CENTRAL
U11,60,10,BLK 166 BUKIT BATOK WEST AVENUE 8
